id,date,language,title,normalized_rating,actual_rating,offering_Accommodation,offering_Food & Beverage,offering_Retail,offering_Tourism Attractions/ Sites,offering_Religious,destination,sentiment_lexicon,sentiment_LLM,clean_content,theme_LDA,theme_BERT,num_offerings,month_year
377380-167104841892,2021-02-07 10:52:00+00:00,ara,Novotel Dammam Business Park,60.0,3.0,1,0,0,0,0,Dammam,neutral,neutral,متواضع مارأيت امامي,Accommodation & Positive Venue Experience,Peaceful and Beautiful Atmosphere,1,2021-02
377380-167105162814,2021-02-07 07:00:00+00:00,ara,فندق سجى المدينة,20.0,1.0,1,0,0,0,0,Madinah,neutral,neutral,للأمانة النجمة دي عشان موظفات الإستقبال الرائعات الغرف مواقف سيارات ضيقة جدا جدا خدمة غرف متأخرة وتطلب كاسة ثلج يقولك بخمسة اروح اشتري كيس ثلج كامل فندق نجوم يعمل كدا واللي يسكن مايسمع صوت الأذان روحانية فنادق تانية قريبة تسمع الأذان شغال ماسمعت صوت الحرم تسمع مكبرات الممرات تشم رائحة حلوة الممرات المصاعد فنادق تانية فقط اتمنى تحسنو نفسكم للأفضل,City Amenities & Shopping (Riyadh-focused),Religious expressions,1,2021-02
377380-167107243716,2021-02-07 09:40:00+00:00,ara,Mövenpick Hotel And Residences Hajar Tower Makkah,80.0,4.0,1,0,0,0,0,Makkah,neutral,positive,ايجابيات الفندق قربه الحرم للنزول لجميع الفرائض بأريحية حاله كحال بقية فنادق أبراج زمزم السرير المخدات مريحة جدا ويضيفون مخدة بطانية الدولاب الاستقبال الخروج جدا سلس المجمع التجاري تحتك احتجت اي غرض الفطور الغرف بسبب الضروف الصحية متنوع مشبع وقت الخروج تم تمديدها قليلا بسبب ضروفنا الخاصة الفندق يرقى نجوم أقيمه نجوم بسبب السلبيات التالية يوجد شبشب او سليبر الغرف يوجد أرواب استحمام فقط مناشف جيدة ضيق الغرف وخصوصا محور الحركة الغرفة ارضية الحمام تحتاج اعادة ترويب مغلفات القهوة عليها مادة ملبدة متسخة جانب الكنب الداخل وجدت بقايات نزيل آخر الخداديات مفرش التزيين للسرير موجود صور العرض يوجد مكينة كبسولات القهوة فقط غلاية الأسعار الإستقبال مباشرة أعلى التطبيقات كحد أدنى وهذا الشيء لفت إنتباهي فنادق مكة وغيرها الفطور بدون اختيارات أطباق البيض الشكشوكة مضبوطة وبدون مشروبات متنوعة فقط حليب ساخن الشاي غرفتك تسويه لنفسك التكييف أستطع التحكم ينبغى كانت الغرفة باردة جداااا بالنسبة للمصاعد للوصول كانت سهلة يراها البعض صعبة مدخل ابراج زمزم الرئيسي تذهب المصاعد المخصصة للفنادق وأغلب الفنادق الدور الحادي مداخلها استقبالها,Accommodation & Positive Venue Experience,Hotel cleanliness quality,1,2021-02
377380-167107637728,2021-02-07 04:47:00+00:00,ara,Al Hijaz Mall,80.0,4.0,0,0,0,1,0,Makkah,neutral,neutral,جميل العاب للأطفال وفيه كوفي ومطاعم واسواق الاسعار جدا جدا مرتفعة,Accommodation & Positive Venue Experience,Shopping malls,1,2021-02
377380-167107648625,2021-02-07 13:47:00+00:00,eng,Al Hijaz Mall,60.0,3.0,0,0,0,1,0,Makkah,positive,positive,good,Food & Dining / Restaurants,Positive customer feedback,1,2021-02
377380-167107648690,2021-02-07 13:47:00+00:00,ara,Al Hijaz Mall,80.0,4.0,0,0,0,1,0,Makkah,neutral,positive,ممتاز للتسوق خصوصا لمن لديهم صغار,Religious / Spiritual & Tranquil Sites,Shopping malls,1,2021-02
377380-167107648768,2021-02-07 14:47:00+00:00,ara,Al Hijaz Mall,100.0,5.0,0,0,0,1,0,Makkah,neutral,positive,مول رائع,Religious / Spiritual & Tranquil Sites,Beautiful places,1,2021-02
377380-167118284806,2021-02-07 17:23:00+00:00,eng,Organic Drip Speciality Coffee اورجانيك دريب‎,80.0,4.0,1,0,0,0,0,Riyadh,positive,positive,good staff,Food & Dining / Restaurants,Positive customer feedback,1,2021-02
377380-167118712501,2021-02-07 03:26:00+00:00,ara,Hilton Suites Makkah,100.0,5.0,1,0,0,0,0,Makkah,neutral,positive,تجربة فندق هيلتون أقرب فندق لنقطة تجمع الشبيكة مرفق صورة إطلالة جناحي نقطة التجمع استقبال رائع وحفاوة يشكرون عليها تم ترقية جناحي المطل لجناح مطل جزئيا خدمة الغرف سريعة جدا الإفطار لذيذ ويصل للغرفة أوضاع كورونا,Accommodation & Positive Venue Experience,Hotel cleanliness quality,1,2021-02
377380-167125021200,2021-02-07 02:12:00+00:00,ara,Capital O 145 Sendan Residence,80.0,4.0,1,0,0,0,0,Dammam,neutral,positive,جميل,Accommodation & Positive Venue Experience,Positive customer feedback,1,2021-02
377380-167125542462,2021-02-07 15:22:00+00:00,ara,Pullman Zamzam Makkah,80.0,4.0,1,0,0,0,0,Makkah,neutral,positive,الموقع مقارنه بالسعر والخدمه,Accommodation & Positive Venue Experience,Hotel cleanliness quality,1,2021-02
377380-167126204489,2021-02-07 10:35:00+00:00,ara,Rest Night Hotel Suites- - AL Nafal,40.0,2.0,0,1,0,0,0,Riyadh,neutral,neutral,الاثاث يحتاج تجديد,Accommodation & Positive Venue Experience,Need for improvement,1,2021-02
377380-167126571127,2021-02-07 17:43:00+00:00,ara,"The Ritz-Carlton, Riyadh",100.0,5.0,1,0,0,0,0,Riyadh,neutral,positive,احلى تركش كوفي الرياض الاقامه الأوتيل,Attractions & Scenic / Heritage Sites,Religious expressions,1,2021-02
377380-167126571128,2021-02-07 13:43:00+00:00,ara,"The Ritz-Carlton, Riyadh",100.0,5.0,1,0,0,0,0,Riyadh,neutral,positive,راااااائع,Food & Dining / Restaurants,Positive experiences,1,2021-02
377380-167130706811,2021-02-07 10:51:00+00:00,ara,Twina Park,60.0,3.0,0,1,0,0,0,Makkah,neutral,positive,يعجبني المستورد وطبخه حلو وجلساته مقبوله,City Amenities & Shopping (Riyadh-focused),Positive customer feedback,1,2021-02
377380-167131698168,2021-02-07 11:08:00+00:00,eng,Massara House Hotel,80.0,4.0,1,0,0,0,0,Dammam,positive,positive,excellent,Food & Dining / Restaurants,Restaurant dining experience,1,2021-02
377380-167132171390,2021-02-07 18:18:00+00:00,ara,Sonood Al Azama Hotel,40.0,2.0,1,0,0,0,0,Makkah,neutral,neutral,لايتوفر أجنحة بصالات لاتتوفر مواقف كافية فقط الموجودة الفندق رائحة تدخين الدور,Attractions & Scenic / Heritage Sites,Hotel cleanliness quality,1,2021-02
377380-167134675185,2021-02-07 00:19:00+00:00,ara,Traveller Inn,100.0,5.0,1,0,0,0,0,Khobar,neutral,positive,موقع جميل وقريب الأماكن السياحية الخبر,Accommodation & Positive Venue Experience,Beautiful places,1,2021-02
377380-167135112314,2021-02-07 00:30:00+00:00,eng,Mövenpick Hotel & Resort Yanbu,20.0,1.0,1,1,0,0,0,Abha,positive,positive,excellent,Food & Dining / Restaurants,Restaurant dining experience,2,2021-02
377380-167135180002,2021-02-07 00:31:00+00:00,ara,AL NOKHBA ROYAL INN,100.0,5.0,1,0,0,0,0,Madinah,neutral,positive,فندق ممتاز,Accommodation & Positive Venue Experience,Hotel cleanliness quality,1,2021-02
377380-167136186178,2021-02-07 00:51:00+00:00,eng,Kempinski Al Othman Hotel Al Khobar,100.0,5.0,1,1,0,0,0,Khobar,positive,positive,good,Food & Dining / Restaurants,Positive customer feedback,2,2021-02
377380-167136189411,2021-02-07 00:51:00+00:00,ara,Kempinski Al Othman Hotel Al Khobar,100.0,5.0,1,1,0,0,0,Khobar,neutral,positive,اجواء رائعه,Religious / Spiritual & Tranquil Sites,Positive customer feedback,2,2021-02
377380-167138153854,2021-02-07 00:00:00+00:00,eng,WORLD SIGHTS PARK,80.0,4.0,0,0,0,1,0,Riyadh,positive,neutral,beautiful small garden characterized famous tourist attraction place toilet small coffee shop,Food & Dining / Restaurants,Bathroom cleanliness issues,1,2021-02
377380-167138153875,2021-02-07 00:00:00+00:00,eng,WORLD SIGHTS PARK,80.0,4.0,0,0,0,1,0,Riyadh,positive,negative,idea deserves five star implementation better short mean idea better implementation model small enough space figure addition surrounding model fence distorts view cannot photograph satisfactorily would better applied idea much larger area model every country contains feature addition presence popular food every civilization people said beginning idea better implementation idea fully implemented would important tourist attraction finally thank effort photographed,Food & Dining / Restaurants,Restaurant dining experience,1,2021-02
377380-167138155516,2021-02-07 00:00:00+00:00,eng,WORLD SIGHTS PARK,80.0,4.0,0,0,0,1,0,Riyadh,positive,positive,good place spent almost hour entry ticket sar adult kid better reach sunset small child play area also available parking space also small mostly crowded,Food & Dining / Restaurants,Beautiful places,1,2021-02
377380-167139106786,2021-02-07 05:53:00+00:00,ara,دار الجنوب للوحدات السكنية (HOTEL),100.0,5.0,1,0,0,0,0,Jeddah,neutral,positive,تستاهل السكن والاقامه سعر وخدمه عاليه وخاصه الاخ محمود موظف الاستقبال,Accommodation & Positive Venue Experience,Religious expressions,1,2021-02
377380-167139109272,2021-02-07 13:53:00+00:00,eng,دار الجنوب للوحدات السكنية (HOTEL),100.0,5.0,1,0,0,0,0,Jeddah,positive,positive,nice place stay excellent employee customer service,Food & Dining / Restaurants,Restaurant dining experience,1,2021-02
377380-167139175482,2021-02-07 10:55:00+00:00,eng,ALMUTLAQ HOTEL RIYADH,80.0,4.0,1,1,0,0,0,Riyadh,positive,positive,polite hospitable staff deliciously food presented calss comfortable room ambience would love stay hotel whenever visit riyadh best luck team al mutlaq hotel,Food & Dining / Restaurants,Hotel cleanliness quality,2,2021-02
377380-167140881862,2021-02-07 22:41:00+00:00,ara,Riyadh Chinese Restaurant,80.0,4.0,1,1,0,0,0,Riyadh,neutral,negative,الاكل جيد جدا وبعض الأكلات ممتازة المكان عاادي ولايوجد مواقف كافيه للسيارات,Accommodation & Positive Venue Experience,Restaurant dining experience,2,2021-02
377380-167143174332,2021-02-07 14:07:00+00:00,ara,"Makkah Clock Royal Tower, A Fairmont Hotel",80.0,4.0,1,0,0,0,0,Makkah,neutral,negative,الأثاث قديم وطلب واجهة الغرفة يختلف الواقع,Accommodation & Positive Venue Experience,Hotel cleanliness quality,1,2021-02
377380-167143174342,2021-02-07 21:07:00+00:00,ara,"Makkah Clock Royal Tower, A Fairmont Hotel",100.0,5.0,1,0,0,0,0,Makkah,neutral,positive,رائع,Religious / Spiritual & Tranquil Sites,Positive customer feedback,1,2021-02
377380-167143176502,2021-02-07 13:07:00+00:00,eng,"Makkah Clock Royal Tower, A Fairmont Hotel",100.0,5.0,1,0,0,0,0,Makkah,positive,positive,wonderful,Food & Dining / Restaurants,Positive customer feedback,1,2021-02
377380-167143180748,2021-02-07 03:07:00+00:00,eng,"Makkah Clock Royal Tower, A Fairmont Hotel",100.0,5.0,1,0,0,0,0,Makkah,positive,positive,every window room show kabbaa love idea execution hotel,Food & Dining / Restaurants,Hotel cleanliness quality,1,2021-02
377380-167143638062,2021-02-07 20:16:00+00:00,ara,Batoul Ajyad Hotelفندق بتول أجياد,60.0,3.0,1,0,0,0,0,Makkah,neutral,positive,فندق جيد وقريب الحرم هادئ وللعلم زرته فترة العمرة المقننة بتطبيق اعتمرنا يحتاج نظافة للغرف الكنب وسخ والفرش الأرضي نظيف ومستوى نظافة الحمام متوسطة,Accommodation & Positive Venue Experience,Hotel cleanliness quality,1,2021-02
377380-167143639866,2021-02-07 03:16:00+00:00,ara,Boudl Hotel Apartments,100.0,5.0,1,0,0,0,0,Jeddah,neutral,positive,استمتع بالإقامة المكان شكري وتقديري لموظفي الاستقبال التنظيم والحفاوة شكرآ بودل,City Amenities & Shopping (Riyadh-focused),Positive customer feedback,1,2021-02
377380-167143647129,2021-02-07 03:16:00+00:00,ara,Boudl Hotel Apartments,60.0,3.0,1,0,0,0,0,Jeddah,neutral,negative,تلفزيونات عهد جدي ، ، النت ضعيف ، ، الأفياش قليلة وثنائي تبهذلنا معاها ، ، والغلاية ماعندها فيش اضطريت مرة انقلها وهذا خطر وجود اطفال,Accommodation & Positive Venue Experience,Temporarily closed businesses,1,2021-02
377380-167143719159,2021-02-07 10:17:00+00:00,ara,Al Ahlam Tourisim Resort,40.0,2.0,1,0,0,0,0,Yanbu,neutral,negative,السعر غالي أثاث قديم,City Amenities & Shopping (Riyadh-focused),Hotel cleanliness quality,1,2021-02
377380-167144215974,2021-02-07 12:28:00+00:00,ara,Al Dar Al Jadid Hotel,100.0,5.0,1,0,0,0,0,Jeddah,neutral,positive,جيد جدا,Accommodation & Positive Venue Experience,Positive customer feedback,1,2021-02
377380-167144225166,2021-02-07 03:28:00+00:00,ara,Jeddah Hilton Hotel,100.0,5.0,1,0,0,0,0,Jeddah,neutral,negative,غني التعريف,Religious / Spiritual & Tranquil Sites,Cinema experience,1,2021-02
377380-167144225869,2021-02-07 04:28:00+00:00,eng,Jeddah Hilton Hotel,20.0,1.0,1,0,0,0,0,Jeddah,negative,negative,bad rude front desk reflecting five star attitude level,Food & Dining / Restaurants,Temporarily closed businesses,1,2021-02
377380-167144226152,2021-02-07 07:28:00+00:00,ara,Jeddah Hilton Hotel,20.0,1.0,1,0,0,0,0,Jeddah,neutral,negative,والله واللذي نفسه بيده تعرضت لمواقف تنسى العيب ليسى الموظفيين العيب عدم مهنية الفندق اشتهدو الموظفين لديهم خلل عظيم للامانه تعليقي لسى كامل لاني مشغول تجربه سيئه الاكل سيئ اود ان مدير الفندق يزور فنادق للتعلم وشكرا,Attractions & Scenic / Heritage Sites,Religious expressions,1,2021-02
377380-167144230273,2021-02-07 21:28:00+00:00,ara,Jeddah Hilton Hotel,100.0,5.0,1,0,0,0,0,Jeddah,neutral,positive,جدآ ممتاز السعر يخفض شي شكرا لكل المطعم وقت العشاء شكرا خاص الشيف المصري الذيذ طعم المشويات يده الله يسعده,Accommodation & Positive Venue Experience,Restaurant dining experience,1,2021-02
377380-167144589208,2021-02-07 03:37:00+00:00,ara,Afraa hotel,100.0,5.0,1,0,0,0,0,Makkah,neutral,positive,مشاء الله نظافه والاستقبال تعامل راقي,Accommodation & Positive Venue Experience,Religious expressions,1,2021-02
377380-167144592838,2021-02-07 19:37:00+00:00,ara,Al Alya Hotel Rooms and Suites,20.0,1.0,1,0,0,0,0,Madinah,neutral,neutral,الفندق نظيف خدمات يوجد لاندري لايوجد واي فاي رغم أنه علي بوكينج كاتبين شبكة واي فاي مجانية بكل غرف الفندق المواقف قليلة وليست شاغرة رغم أنه كاتبين علي بوكينج أنه يوجد مواقف مجانية الموظفين يحطون سياراتهم مكان للنزلاء التكييف ردئ جدا والشاشة بالكاد تشتغل سعر الليلتين وأري أنها تسوي,Accommodation & Positive Venue Experience,Hotel cleanliness quality,1,2021-02
377380-167144984885,2021-02-07 19:47:00+00:00,ara,Boudl Taif,80.0,4.0,1,0,0,0,0,Makkah,neutral,positive,نظيف ومرتب,Accommodation & Positive Venue Experience,Hotel cleanliness quality,1,2021-02
377380-167146598467,2021-02-07 04:31:00+00:00,ara,Sheraton Makkah Jabal Al Kaaba Hotel,100.0,5.0,1,0,0,0,1,Makkah,neutral,negative,رائع النواحي للأمانه شي متوفر مريح عيب فقط مافيه مواقف للسيارات,Accommodation & Positive Venue Experience,Parking and Access,2,2021-02
377380-167146599039,2021-02-07 04:31:00+00:00,ara,Sheraton Makkah Jabal Al Kaaba Hotel,100.0,5.0,1,0,0,0,1,Makkah,neutral,positive,اقامه جميله مرتب ونظيف وخدماتهم سريعه قريب للحرم طلوع ونزول زي الجبل صغير تقريبا دقايق يصلح لكبار السن اذا عندهم مشاكل بالمشي موفرين سجادات لازمه كورونا والافطار يوصل للغرفه والكميه كثييره وراهيه اطلبو منهم بوكسات حفظ النعمه يوفرونها عشان ينرمي الاكل وزعوه خارج الفندق,Accommodation & Positive Venue Experience,Religious expressions,2,2021-02
377380-167146599096,2021-02-07 04:31:00+00:00,ara,Sheraton Makkah Jabal Al Kaaba Hotel,20.0,1.0,1,0,0,0,1,Makkah,neutral,negative,اضيق غرف ممكن تسكنها عندهم للاسف واخيس خدمة ممكن تشوفها للشيرتون حول العالم عندهم للاسف,Accommodation & Positive Venue Experience,Religious expressions,2,2021-02
377380-167146599097,2021-02-07 04:31:00+00:00,ara,Sheraton Makkah Jabal Al Kaaba Hotel,100.0,5.0,1,0,0,0,1,Makkah,neutral,positive,خيار ممتاز انصح واشكر الموظفين كانوا قمة الاحترام والتعاون الاخ رائد بترقية حجزي الافطار متنوع وكمية تكفي اكثر شخصين يتم توصيلها الى الغرفة يبعد المسجد الحرام حول ١٠ دقائق مشي يعيبه وجود طلعة تعتبر صعبة نوعا لكبار السن اما حالة وجود عربية فالامر عادي جدا اقرب مركز تجمع للعمرة الشبيكة افضل وارخص طريقة للحجز طريق الوسطاء ويجي بعدها موقع الفندق الانترنت وبعده مواقع تطبيقات الحجز بوكنق واقودا وفي الاخير الحجز طريق الاستقبال مباشرة ويعتبر اغلاها ويوصل الى الى ضعف مبلغ الوسيط اسعار الخدمات طلب اكل او طلب اي نوع المشروبات او غسيل الملابس وغيرها تعتبر غالية جدا تقبل الله الجميع صالح الأعمال تنسوني دعوة بظهر الغيب,Accommodation & Positive Venue Experience,Religious expressions,2,2021-02
377380-167146904226,2021-02-07 16:40:00+00:00,ara,Crowne Plaza Riyadh Al Waha,100.0,5.0,1,1,0,0,0,Jeddah,neutral,positive,جميل,Accommodation & Positive Venue Experience,Positive customer feedback,2,2021-02
377380-167146969784,2021-02-07 04:41:00+00:00,eng,Centro Salama,80.0,4.0,1,0,0,0,0,Jeddah,positive,neutral,nice elegant hotel good service room main road guest hear car noise,Food & Dining / Restaurants,Parking and Access,1,2021-02
377380-167147360399,2021-02-07 07:52:00+00:00,ara,Al Marwa Rayhaan By Rotana,20.0,1.0,1,0,0,0,0,Makkah,neutral,negative,تجربة سيئة جدا حجزنا جناح طريق بوكنج ووصلنا الساعة ٢ الظهر فقالوا تسليم الجناح الساعة ٤ العصر وبعد شوي يجي جنسية عربية ويقولون الموال الساعة ٤ وتطلع وحدة الاستقبال قالت استاذ صالح تفضل عندي غرفتك جاهزة ونطيت قالت طيب نعطيكم غرفة يجهز الجناح ورفضنا والان جالسين الزبالة اقصد الاستقبال ننتظر,Accommodation & Positive Venue Experience,Religious expressions,1,2021-02
377380-167147360411,2021-02-07 09:52:00+00:00,ara,Al Marwa Rayhaan By Rotana,20.0,1.0,1,0,0,0,0,Makkah,neutral,negative,سيء بكل ماتحمل الكلمة معنى اخذت غرفة كنق اطلالة جزئية الكعبة وكانت عبارة غرفة عزابية الفندق سيء انا اخذته علشان المواقف وليتني ماخذته الصور توضح اكثر واسف سوء الصور وصلت الصباح وبلغوني ان الغرفة تسليمها الساعة وقلت عادي حقكم واخذت عمرتي ورجعت الساعة الظهر قالو الغرفة ماهي جاهزة ويمكن ماتاخذها الا المغرب قلت الكلام قالو نعطيك غرفة عادية ورفضت وجلست لحد ماعدت الساعة العصر وقمت ورفعت بلاغ لوزارة السياحة وانتظرت سلموني غرفة معفنة والله اول مرة ادخل غرفة كلها ذبان والاطلالة ياربي الحمد والشكر الصور توضح كثير عموما الفندق كمية قذارة ان السباك يدق الباب يقول عندك شي متسكر كانك ساكن الدقي او باب اللوق لاحد يشاهد التعليقات ماقبل سنة شوفو تعليقات الشهرين الاخيرات تعرفون ان الفندق عبارة قذارة,Accommodation & Positive Venue Experience,Religious expressions,1,2021-02
377380-167147361863,2021-02-07 10:52:00+00:00,eng,Al Marwa Rayhaan By Rotana,60.0,3.0,1,0,0,0,0,Makkah,positive,neutral,ok,Food & Dining / Restaurants,Shopping malls,1,2021-02
377380-167147362998,2021-02-07 21:52:00+00:00,ara,Al Marwa Rayhaan By Rotana,100.0,5.0,1,0,0,0,0,Makkah,neutral,positive,جميلورائع,City Amenities & Shopping (Riyadh-focused),Positive customer feedback,1,2021-02
377380-167147365342,2021-02-07 07:52:00+00:00,ara,Al Marwa Rayhaan By Rotana,100.0,5.0,1,0,0,0,0,Makkah,neutral,positive,جميل جدا,Accommodation & Positive Venue Experience,Positive customer feedback,1,2021-02
377380-167147365415,2021-02-07 04:52:00+00:00,ara,Al Marwa Rayhaan By Rotana,20.0,1.0,1,0,0,0,0,Makkah,neutral,negative,انا الفندق انتظر الدخول علما انه الفندق فاضي بسبب كورونا وعذرهم انه تسجيل الدخول الساعة اربعة فعلا فعلا فعلا خدمة سيئة تسجيل الدخول وأخر مرة نحجز,Accommodation & Positive Venue Experience,Hotel cleanliness quality,1,2021-02
377380-167148670072,2021-02-08 02:18:00+00:00,ara,Dabab Hotel By Warwick,100.0,5.0,0,1,0,0,0,Riyadh,neutral,positive,رائع جدا,Accommodation & Positive Venue Experience,Positive customer feedback,1,2021-02
377380-167148798198,2021-02-07 05:22:00+00:00,ara,Hyatt Regency Riyadh Olaya,80.0,4.0,0,1,0,0,0,Riyadh,neutral,positive,فندق موقع استراتيجي العليا تقاطع التحليه قريب منكم مطاعم شاميه كافيهات تيم هورتنز مليون ايت للبرجر ومطعم الكوفيه والبلد قريب برج الفيصليه ومركز العبايه مول أوزن وتحت الفندق مركز الماركات المعروفه الفندق جدا راقي أنيق وهادي الأثاث ودورات المياه نظيفه وريحة الفندق روعه اللوبي ويستقبلونك طوال اليوم بالقهوة العربي الخدمه ممتازة يوفرو اي شي بمجرد الأتصال الفندق يستخدم التكنولوجيا شي الاضاءة والستائر عندهم مطعم وكافيه التراس وعندهم ستار بكس الأسعار للطلبات مرتفعه وايضا لمغسلة الملابس مرتفعه مثلا طلبت كوي فقط عبايه دفعت العصير بحكم انه فندق نجوم اخدنا جناح غرفه وصاله ليلتين عندهم خدمه توصيل للمطار دفعت استمتعت بالخدمات عندهم وراح أكرر الزيارة الجميل عندهم الشاشه داخل الغرفه تقدر تعرف اش الخدمات الفاتورة الي دفعتها ساعه خروج الفندق المرافق الموجودة الفندق عجبني بصراحه اهتمامهم بالعميل,City Amenities & Shopping (Riyadh-focused),Religious expressions,1,2021-02
377380-167149785278,2021-02-08 05:21:00+00:00,ara,Al Hyatt Jeddah Continental Hotel,60.0,3.0,1,0,0,0,0,Jeddah,neutral,positive,نظيف وجميل,Accommodation & Positive Venue Experience,Hotel cleanliness quality,1,2021-02
377380-167150853693,2021-02-07 06:05:00+00:00,ara,Dyar Alhamra Hotel,60.0,3.0,1,0,0,0,0,Jeddah,neutral,negative,ريحه كريهه والغرف مكتومه جدا,Religious / Spiritual & Tranquil Sites,Hotel cleanliness quality,1,2021-02
377380-167151737134,2021-02-07 06:25:00+00:00,ara,Almuhaidb Al Olaya 3,80.0,4.0,0,1,0,0,0,Riyadh,neutral,positive,ممتاز جدا ومناسب تعامل الموظفين راقي,Accommodation & Positive Venue Experience,Positive customer feedback,1,2021-02
377380-167152898227,2021-02-08 05:51:00+00:00,ara,hara masria,100.0,5.0,1,0,0,0,0,Riyadh,neutral,negative,الاكل رائع الاسعار غالية شوية,Religious / Spiritual & Tranquil Sites,Positive customer feedback,1,2021-02
377380-167153627363,2021-02-07 07:07:00+00:00,ara,Arto hotel Apartment,100.0,5.0,0,1,0,0,0,Riyadh,neutral,positive,روعه ونظيفه وتعامل رائع اهتمام بالهدوء وراحه النزلاء,Accommodation & Positive Venue Experience,Hotel cleanliness quality,1,2021-02
377380-167154292491,2021-02-07 12:21:00+00:00,ara,Culture. Cafe & Lounge,100.0,5.0,0,1,0,0,0,Jeddah,neutral,positive,مكان جدا جدا جميييييل انصح احد يجي جدة يجيها وانصحه بالحجز المسبق اذا يبغى الفيو الموظفين اصحاب أخلاق جميلة متعاونين الاسعار كالمعتاد وسط,Accommodation & Positive Venue Experience,Positive customer feedback,1,2021-02
377380-167154405544,2021-02-07 23:23:00+00:00,ara,Garden Palace Hotel,100.0,5.0,1,0,0,0,0,Jeddah,neutral,positive,فندق جميل وظريف وهادي وتظيف اثاثه جديد ومرتب اعجبني كثير ، ، اقامة شاملة الفطور العاملين محترمين وممتازين الموقع مطل المطار وقريب الرد سي البحر اكرر الاقامة باذن الله,Accommodation & Positive Venue Experience,Religious expressions,1,2021-02
377380-167154598441,2021-02-07 08:26:00+00:00,ara,Auris Al Fanar Hotel Apartments,80.0,4.0,1,1,0,0,0,Jeddah,neutral,positive,نظيف وجميل ومميز,Accommodation & Positive Venue Experience,Hotel cleanliness quality,2,2021-02
377380-167155262716,2021-02-08 07:26:00+00:00,ara,Awaliv Suites,100.0,5.0,1,0,0,0,0,Taif,neutral,positive,جديد ونظيف ومريح,Accommodation & Positive Venue Experience,Hotel cleanliness quality,1,2021-02
377380-167155590734,2021-02-07 00:00:00+00:00,eng,Noor Al Hanaa,20.0,1.0,1,0,0,0,0,Riyadh,neutral,positive,god honor grace first time life order chicken shawarma complete even glow,Food & Dining / Restaurants,Restaurant dining experience,1,2021-02
